Y C I u
18.15697 16.15697 2.0 −0.3686055
19.59980 17.59980 2.0 −0.8004084E-01
21.93468 19.73468 2.2 0.1869357
21.55145 19.35145 2.2 0.1102906
21.88427 19.48427 2.4 −0.2314535E-01
22.42648 20.02648 2.4 0.8529544E-01
25.40940 22.80940 2.6 0.4818807
22.69523 20.09523 2.6 −0.6095481E-01
24.36465 21.56465 2.8 0.7292983E-01
24.39334 21.59334 2.8 0.7866819E-01
24.09215 21.09215 3.0 −0.1815703
24.87450 21.87450 3.0 −0.2509900E-01
25.31580 22.11580 3.2 −0.1368398
26.30465 23.10465 3.2 0.6092946E-01
25.78235 22.38235 3.4 −0.2435298
26.08018 22.68018 3.4 −0.1839638
27.24440 23.64440 3.6 −0.1511200
28.00963 24.40963 3.6 0.1926739E-02
30.89301 27.09301 3.8 0.3786015
28.98706 25.18706 3.8 −0.2588852E-02
